X,Y,Z
-0.109767,-0.189147,0.409
-0.108915,-0.189147,0.409
-0.108328,-0.189609,0.41
-0.110347,-0.187833,0.408
-0.109498,-0.187833,0.408
-0.108649,-0.187833,0.408
-0.108064,-0.188294,0.409
-0.106951,-0.187833,0.408
-0.106102,-0.187833,0.408
-0.104404,-0.187833,0.408
-0.103555,-0.187833,0.408
-0.102705,-0.187833,0.408
-0.101357,-0.186913,0.406
-0.110347,-0.186982,0.408
-0.10923,-0.186524,0.407
-0.108649,-0.186982,0.408
-0.1078,-0.186982,0.408
-0.106951,-0.186982,0.408
-0.106102,-0.186982,0.408
-0.104995,-0.186524,0.407
-0.104148,-0.186524,0.407
-0.103555,-0.186982,0.408
-0.102454,-0.186524,0.407
-0.101357,-0.186066,0.406
-0.110347,-0.186131,0.408
-0.108962,-0.185219,0.406
-0.108649,-0.186131,0.408
-0.1078,-0.186131,0.408
-0.106951,-0.186131,0.408
-0.105842,-0.185675,0.407
-0.104995,-0.185675,0.407
-0.103892,-0.185219,0.406
-0.103301,-0.185675,0.407
-0.102454,-0.185675,0.407
-0.101357,-0.185219,0.406
-0.100512,-0.185219,0.406
-0.110347,-0.185281,0.408
-0.108693,-0.183918,0.405
-0.108383,-0.184826,0.407
-0.107536,-0.184826,0.407
-0.106689,-0.184826,0.407
-0.105582,-0.184372,0.406
-0.104737,-0.184372,0.406
-0.103636,-0.183918,0.405
-0.102793,-0.183918,0.405
-0.102202,-0.184372,0.406
-0.101107,-0.183918,0.405
-0.100512,-0.184372,0.406
-0.110077,-0.183978,0.407
-0.108693,-0.183073,0.405
-0.108117,-0.183526,0.406
-0.107272,-0.183526,0.406
-0.106689,-0.183978,0.407
-0.105322,-0.183073,0.405
-0.104479,-0.183073,0.405
-0.10338,-0.182621,0.404
-0.102793,-0.183073,0.405
-0.10195,-0.183073,0.405
-0.101107,-0.183073,0.405
-0.100264,-0.183073,0.405
-0.109806,-0.182679,0.406
-0.108425,-0.181779,0.404
-0.10785,-0.182229,0.405
-0.107007,-0.182229,0.405
-0.106165,-0.182229,0.405
-0.105322,-0.182229,0.405
-0.104479,-0.182229,0.405
-0.103124,-0.181329,0.403
-0.102539,-0.181779,0.404
-0.101698,-0.181779,0.404
-0.100858,-0.181779,0.404
-0.100017,-0.181779,0.404
-0.108156,-0.180488,0.403
-0.107584,-0.180936,0.404
-0.106743,-0.180936,0.404
-0.106165,-0.181384,0.405
-0.105062,-0.180936,0.404
-0.103963,-0.180488,0.403
-0.103124,-0.180488,0.403
-0.102285,-0.180488,0.403
-0.101447,-0.180488,0.403
-0.100608,-0.180488,0.403
-0.0997693,-0.180488,0.403
-0.107888,-0.179202,0.402
-0.107318,-0.179648,0.403
-0.106479,-0.179648,0.403
-0.10564,-0.179648,0.403
-0.104802,-0.179648,0.403
-0.103963,-0.179648,0.403
-0.102868,-0.179202,0.402
-0.101778,-0.178756,0.401
-0.100943,-0.178756,0.401
-0.100109,-0.178756,0.401
-0.0992742,-0.178756,0.401
-0.108995,-0.178807,0.403
-0.10762,-0.17792,0.401
